Author,DBLP profile,Number of DBLP-listed peer-reviewed papers
Emmanuel Bresso,https://dblp.uni-trier.de/pid/11/8674.html,8
Jørgen Bang-Jensen,https://dblp.uni-trier.de/pid/55/4424.html,131
Hacène Belbachir,https://dblp.uni-trier.de/pid/09/8077.html,25
Guillaume Bonfante,https://dblp.uni-trier.de/pid/98/2498.html,46
Miguel Couceiro,https://dblp.uni-trier.de/pid/90/3960.html,110
Adrien Coulet,https://dblp.uni-trier.de/pid/82/4513.html,31
Jimmy Devillet,https://dblp.uni-trier.de/pid/194/2697.html,5
Michel Grabisch,https://dblp.uni-trier.de/pid/99/4459.html,143
Jonas Costa Ferreira da Silva,https://dblp.uni-trier.de/pid/292/4141.html,0
Frédéric Havet,https://dblp.uni-trier.de/pid/75/5208.html,104
Oussama Igueroufa,-,0
Erkko Lehtonen,https://dblp.uni-trier.de/pid/19/3461.html,35
Pierre Mathonet,https://dblp.uni-trier.de/pid/05/118.html,13
Pierre Monnin,https://dblp.uni-trier.de/pid/201/5112.html,8
Amedeo Napoli,https://dblp.uni-trier.de/pid/n/AmedeoNapoli.html,257
Djamila Oudrar,https://dblp.uni-trier.de/pid/187/5004.html,1
Maurice Pouzet,https://dblp.uni-trier.de/pid/81/1421.html,62
Luigi Santocanale,https://dblp.uni-trier.de/pid/66/2366.html,47
Hamza Si Kaddour,https://dblp.uni-trier.de/pid/94/3941.html,10
Malika Smaïl-Tabbone,https://dblp.uni-trier.de/pid/s/MSmail-Tabbone.html,55
Bhalchandra D. Thatte,https://dblp.uni-trier.de/pid/13/3140.html,15
Endre Tóth,https://dblp.uni-trier.de/pid/296/6220.html,1
Tamás Waldhauser,https://dblp.uni-trier.de/pid/06/5250.html,39
Imed Zaguia,https://dblp.uni-trier.de/pid/59/6993.html,17
